NOMINA DE AGENTES RETENEDORES DE CAMBIO DE SUJETO ACTUALIZADA CON INFORMACION DE PUBLICACIONES EN EL DIARIO OFICIAL HASTA EL MES ANTERIOR
 
Cuerpo del RUT;Digito Verificador;Nombre/Razon Social;Producto;Codigo Unidad;Nombre Unidad;Regional;Dependencia de DGC
76186954;K;RESIMEX SOCIEDAD ANONIMA;CHATARRA;16401;SAN BERNARDO;16;
76187487;K;MONTES DE MOLINA SPA;BERRIES;07101;CURICO;7;
76200213;2;RECICLAJES FAREX SPA;CHATARRA;15000;SANTIAGO ORIENTE;15;
76207028;6;CONSTRUCTORA UPC S.A;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;20000;SANTIAGO NORTE;20;
76208282;9;SOCIEDAD COMERCIAL RECICLAR LIMITADA;CHATARRA;03201;COPIAPO;3;
76190988;6;RECICLADOS INDUSTRIALES S.A;CHATARRA;14000;SANTIAGO PONIENTE;14;
76213544;2;FERIA REGIONAL TATTERSALL DE COYHAIQUE SOCIEDAD ANONIMA;GANADO;11401;COYHAIQUE;11;
76223662;1;TRANS PACIFIC FIBRE S.A. (LA SOCIEDAD);RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;09201;TEMUCO;9;SI
76239811;7;INGENIERIA Y CONSTRUCCION OLIVARES Y UTJES EN LIQUIDACION SPA;CONTRATISTA;13000;SANTIAGO CENTRO;13;
76242765;6;CONSTRUCTORA BERSA LA DEHESA SPA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
76248871;K;BDC SPA;CHATARRA;15105;NUNOA;13;
76234151;4;TERRANOVA SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;07201;TALCA;7;
76257379;2;INTERCHILE S.A.;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;SI
76270104;9;AGRICOLA Y GANADERA EL CORRAL LIMITADA;GANADO;10201;OSORNO;10;
76296638;7;SOCIEDAD CONTRACTUAL MINERA BERTA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;
76306672;K;CONSORCIO ICAFAL - L Y D S.A..;CONTRATISTA;20000;SANTIAGO NORTE;20;
76308827;8;COMERCIAL RAMIREZ S.A.;CARNE;16000;SANTIAGO SUR;16;
76308918;5;COMERCIAL CATERBEEF COMPANIA LIMITADA;CARNE;05302;VINA DEL MAR;5;
76279031;9;RECICLAJE - MANUEL GARRIDO - EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;CHATARRA;16401;SAN BERNARDO;16;
76321277;7;CONSTRUCCIONES Y PROMOCIONES BALZOLA SA AGENCIA EN CHILE;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;
76301009;0;ESTABOY TRANSPORTES EXPRESS LIMITADA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;13000;SANTIAGO CENTRO;13;
76303073;3;TRANSPORTE INGENIERIA CONSTRCCION Y COMERCIALIZACION RAUL AWAD SILVA E.I.R.L.;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;20000;SANTIAGO NORTE;20;
76359616;8;PESQUERA MAR AZUL SPA;ESP. HIDROBIOLOS;08201;CONCEPCION;8;
76362176;6;PIQUES Y TUNELES S.A.;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
76375778;1;DESARROLLOS INMOBILIARIOS LIRQUEN SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;08201;CONCEPCION;8;
76347878;5;HEAVYMOVEMENT CHILE SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15103;PROVIDENCIA;15;
76380435;6;INMOBILIARIA LOS BOLDOS SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;
76415269;7;HAMBURGO S.A.;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;14000;SANTIAGO PONIENTE;14;
76425159;8;4G SPA;CHATARRA;02201;ANTOFAGASTA;2;
76404369;3;INGENIERIA INMOBILIARIA E INVERSIONES SICALL S.A.;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;
76428216;7;TABACALERA S.A.;VENTAS CIGARRILLOS;15000;SANTIAGO ORIENTE;15;
76491331;0;RECICLAJES PANAMERICANA SPA;CHATARRA;20000;SANTIAGO NORTE;20;
76476101;4;SOCIEDAD COMERCIALIZADORA RECYCLE OF METALS LIMITADA;CHATARRA;02201;ANTOFAGASTA;2;
76479855;4;METALES ANDALUCIA SPA;CHATARRA;20000;SANTIAGO NORTE;20;
76503274;1;CESAR MARTINEZ Y COMPANIA LIMITADA;CHATARRA;14000;SANTIAGO PONIENTE;14;
76617599;6;SADO INGENIERIA LIMITADA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15105;NUNOA;13;
76628615;1;MH SPA;CHATARRA;15000;SANTIAGO ORIENTE;15;
76588066;1;SOCIEDAD ADMINISTRADORA DE CENTROS COMERCIALES SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15000;SANTIAGO ORIENTE;15;
76590267;3;SERVICIOS LOGISTICOS INTEGRALES SLI SERVYLOG SPA;CONTRATISTA;13000;SANTIAGO CENTRO;13;
76652785;K;SERVICIOS AGRICOLAS SAN FRANCISCO LIMITADA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;14000;SANTIAGO PONIENTE;14;
76604894;3;ARRIGONI PROYECTOS ESPECIALES SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;15103;PROVIDENCIA;15;
7171819;0;FIGUEROA ARAYA JAIME OMAR;PEQ.PROD.AGRICOLA;10201;OSORNO;10;
15061953;K;URTUBIA MUNOZ FRANCISCO JAVIER ALBINO;CHATARRA;20000;SANTIAGO NORTE;20;
76757384;7;LEMETAL SPA;CHATARRA;08401;LOS ANGELES;8;
59241870;3;GUERRA GLOBAL TRADING, AGENCIA EN CHILE;CHATARRA;15000;SANTIAGO ORIENTE;15;
76800373;4;CONIX INGENIERIA Y CONSTRUCCION SPA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
76833156;1;RECICLAJES REM SPA;CHATARRA;20000;SANTIAGO NORTE;20;
76975969;7;METALYSA ACEROS SPA;CHATARRA;08206;TALCAHUANO;8;
77063395;8;SORENA CERRILLOS S.A.;CHATARRA;14109;MAIPU;14;
6650823;4;GONZALEZ HERNANDEZ GONZALO RAUL;ARROZ;07305;PARRAL;7;
77270915;3;HINODE CHILE SPA;VTA PROD CATALOGO;15000;SANTIAGO ORIENTE;15;
77290501;7;CARNE PAMPEANA SPA;CARNE;15103;PROVIDENCIA;15;
77338411;8;RECICLAJES PUDAHUEL SPA;CHATARRA;14000;SANTIAGO PONIENTE;14;
77370872;K;AYR RECICLAJE INTELIGENTE LIMITADA;CHATARRA;07201;TALCA;7;
12801212;5;CASTRO TABILO MIRNA DEL CARMEN;HARINA;02301;CALAMA;2;
6206421;8;DONOSO TOBAR GUILLERMO PATRICIO;ESP. HIDROBIOLOS;04103;COQUIMBO;4;
77569648;6;SOCIEDAD AGR&#xCD;COLA C&#xC1;NTAROS DE AGUA SPA;BERRIES;07201;TALCA;7;
77615611;6;INVERSIONES LA  ISLA  SPA;CARNE;16000;SANTIAGO SUR;16;
3633747;8;CORREA GATICA ZENON GUILLERMO;GANADO;08401;LOS ANGELES;8;
1456900;6;DUCO DUNOGUIER LUIS LUCIANO;HARINA;05601;SAN FELIPE;5;
1754642;2;MOTTA BOLLA CARLOS CESAR;GANADO;06201;SAN FERNANDO;6;
1953889;3;SALMAN SAJURIA JUAN VICTOR;CONTRATISTA;07301;LINARES;7;
2130294;5;GUERRA SAAVEDRA ANGEL BENEDICTO;CARNE;07101;CURICO;7;
2526257;3;PEREZ LEIVA LUIS ORLANDO;HARINA;10101;VALDIVIA;19;
2554859;0;LARRAIN BENAVENTE GERMAN;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
2571408;3;SILVA CHOZAS FRANCISCO EDUARDO;MADERA;08303;LEBU;8;
2838769;5;ESQUERRE TEULADE-CABANES PABLO PEDRO MARIA;MADERA;08201;CONCEPCION;8;
2979905;9;VARELA GUAJARDO SERGIO ROLANDO;GANADO;16000;SANTIAGO SUR;16;
3217579;1;CARMINE ZUNIGA VICTOR HERNAN;MADERA;09201;TEMUCO;9;
3236992;8;NEIRA PALMA ZUNILDA;ESP. HIDROBIOLOS;08303;LEBU;8;
3316780;6;SOFFIA BAHILLO RAMIRO GUILLERMO;GANADO;10201;OSORNO;10;
3596959;4;GAJARDO VENEGAS MARIO FLORINDO;HARINA;03201;COPIAPO;3;
3633746;K;CAMPOS FRANCE EDUARDO EITEL;GANADO;15000;SANTIAGO ORIENTE;15;
3634301;K;LAHSEN CHAER EMILIO;GANADO;08101;REGIONAL CHILLAN;21;
3668541;7;BRIONES ARENAS HECTOR HUGO;CARNE;06101;RANCAGUA;6;
3705808;4;CERNA VENTURELLI HECTOR MANUEL;GANADO;08401;LOS ANGELES;8;
3705984;6;BARROS MUJICA CARLOS JOSE EUSEBIO;CARNE;16000;SANTIAGO SUR;16;
3922196;9;CAZOR BENITEZ LUIS FERNANDO;CONTRATISTA;20000;SANTIAGO NORTE;20;
3949126;5;NENADOVICH DEL RIO MIGUEL;PEQ.PROD.AGRICOLA;15103;PROVIDENCIA;15;
3978238;3;ZURITA CARRILLO JUAN MANUEL;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
4034520;5;SALAZAR CARDENAS DANIEL EUGENIO;CARNE;10301;PUERTO MONTT;10;
4131508;3;CORREA GATICA ERNESTO RAFAEL;GANADO;08401;LOS ANGELES;8;
4133525;4;TORO BERRIOS JUAN RUBEN;CARNE;13000;SANTIAGO CENTRO;13;
4165939;4;RIVAL AESCHLIMAN ERNESTO PEDRO;GANADO;09109;VICTORIA;9;
4403272;4;NEUMANN KLENNER RUDY FERNANDO;PEQ.PROD.AGRICOLA;10303;PUERTO VARAS;10;
4458576;6;BAHAMONDE MUNOZ OSCAR;CONTRATISTA;10401;CASTRO;10;
4640723;7;ENGLER BOCK EDUARDO CRISTOBAL;GANADO;10201;OSORNO;10;
4721630;3;ARAGON VIVANCO ALFREDO LEOPOLDO;CARNE;05302;VINA DEL MAR;5;
4722367;9;MANZURATTI ARBUCH DOMINGO;GANADO;10201;OSORNO;10;
4764052;0;BLANCO POMA GUILLERMO;CONTRATISTA;01101;ARICA;18;
4891161;7;GUZMAN CALVO JUAN LUIS;MADERA;08401;LOS ANGELES;8;
4998182;1;MENDEZ MAUREIRA JUAN RAMON;TRIGO;08201;CONCEPCION;8;
5066782;0;MELENDES CATHALIFAUD RAUL HORACIO;CARNE;04103;COQUIMBO;4;
5090436;9;MELLA RODRIGUEZ HUGO DE JESUS;PEQ.PROD.AGRICOLA;08109;SAN CARLOS;21;
5118795;4;ROJAS DONAT BENEDICTO OSVALDO;CONTRATISTA;07101;CURICO;7;
5145268;2;DEL CANTO RAMIREZ GUSTAVO RAFAEL;CONTRATISTA;09201;TEMUCO;9;
5159408;8;GALLARDO UGALDE MARIA ANTONIA;HARINA;04301;ILLAPEL;4;
5199849;9;LUCERO DIAZ LUIS RAMON;CARNE;15105;NUNOA;13;
5305024;7;MERINO MARQUEZ IVAN ALFREDO;GANADO;08101;REGIONAL CHILLAN;21;
5375654;9;MANRIQUEZ MERCADO FERNANDO EDUARDO;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
5381286;4;DIAZ MARIN HUGO SEGUNDO;ESP. HIDROBIOLOS;02201;ANTOFAGASTA;2;
5424920;9;KUSANOVIC UNKOVIC MARCOS ANTONIO;GANADO;12205;PUNTA ARENAS;12;
5455436;2;YUNGE WILHELM HERIBERTO RICARDO;GANADO;10303;PUERTO VARAS;10;
5512515;5;WILLER PUSCHEL SERGIO ROBERTO;GANADO;10201;OSORNO;10;
5519953;1;URRUTIA SANCHEZ JUAN ANTONIO;GANADO;08401;LOS ANGELES;8;
5604152;4;VERGARA BENITEZ ALEJANDRO ENRIQUE;LEGUMBRE;08401;LOS ANGELES;8;
5707062;5;OBANDO OBANDO MARIA ESTER;CARNE;10406;ANCUD;10;
5845580;6;CORONA ALARCON VICTOR MANUEL;HARINA;06201;SAN FERNANDO;6;
5937470;2;REYES SAEZ PEDRO LUIS;ESP. HIDROBIOLOS;08303;LEBU;8;
5981106;1;CARDENAS CRISOSTO EDITH AURORA;GANADO;09101;ANGOL;9;
6062635;9;ECHAVARRI PENA TOMAS ENRIQUE;GANADO;09201;TEMUCO;9;
6107540;2;HEVIA HOTT GERHARD NORBERTO;GANADO;10201;OSORNO;10;
6135012;8;LABBE CARRASCO MARIA INES;GANADO;10201;OSORNO;10;
6228025;5;FERNANDEZ RUIZ-TAGLE JAVIER DEL CARMEN;GANADO;16403;BUIN;16;
6240627;5;MORENO ARREDONDO JUAN FRANCISCO;HARINA;16000;SANTIAGO SUR;16;
6270533;7;PUCHI ACUNA MARIO HUMBERTO;GANADO;10301;PUERTO MONTT;10;
6334554;7;BIELEFELDT SALDIVIA FEDERICO ALEJANDRO;GANADO;10201;OSORNO;10;
6337155;6;PAEZ FUCHSLOCHER ROBERTO ENRIQUE;GANADO;10101;VALDIVIA;19;
6341538;3;CASTILLO GUERRERO MANUEL EULALIO;CARNE;16300;LA FLORIDA;16;
6378726;4;SIERRA CISTERNAS CARLOS SEGUNDO;CONTRATISTA;08101;REGIONAL CHILLAN;21;
6427915;7;STANDEN HERLITZ CARLOS GUILLERMO;CARNE;08401;LOS ANGELES;8;
6496578;6;FILGUEIRA VELASQUEZ RUBEN EDMUNDO;CONTRATISTA;16000;SANTIAGO SUR;16;
6524009;2;AROCA AROCA SERGIO FRANCISCO ANTONIO;HARINA;09101;ANGOL;9;
6544478;K;HOTT WESTERMEYER RICARDO;GANADO;10109;LA UNION;19;
6620237;2;FIGUEROA GAJARDO MANUEL JESUS;CARNE;16000;SANTIAGO SUR;16;
6674478;7;KIEKEBUSCH HAUCK ALFONSO EMILIO;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
6782459;8;GAJARDO CAMPUSANO HUMBERTO DOMINGO;HARINA;03301;VALLENAR;3;
6813932;5;MANDRU SIEBERT JORGE LUIS;CONTRATISTA;10201;OSORNO;10;
6821059;3;BOHLE SOTO ALBERTO CARLOS;CONTRATISTA;08201;CONCEPCION;8;
6857388;2;SAINT JEAN HERNANDEZ MARIA VERONICA;PEQ.PROD.AGRICOLA;10201;OSORNO;10;
6884093;7;ANGELO HERRERA MARCO ANTONIO;CONTRATISTA;12205;PUNTA ARENAS;12;
6929612;2;MUNOZ HIDALGO MAURICIO RAMON;CARNE;13000;SANTIAGO CENTRO;13;
6953684;0;MUNOZ ARAVENA LUIS HERACLIO;PEQ.PROD.AGRICOLA;07101;CURICO;7;
6998610;2;HOTT KRULL GERMAN PETER;GANADO;10109;LA UNION;19;
7051658;6;HOTT WENZEL SYLVIA PATRICIA;GANADO;10201;OSORNO;10;
7124754;6;PACHECO CONTRERAS OMAR DAVID;PEQ.PROD.AGRICOLA;08109;SAN CARLOS;21;
7308263;3;OYARZUN ANDRADE HECTOR ANTONIO;CONTRATISTA;12205;PUNTA ARENAS;12;
7428491;4;MUNOZ ROZZI CLAUDIO ALEJANDRO EUGENIO;MADERA;07208;CONSTITUCION;7;
7431777;4;CORDERO MARTINI RICARDO LUIS;CONTRATISTA;01201;IQUIQUE;1;
7480818;2;CONTRERAS SEPULVEDA LUIS ALFREDO;HARINA;16300;LA FLORIDA;16;
7515586;7;TOBAR CONCHA SILVIA ELOISA;HARINA;04103;COQUIMBO;4;
7852516;9;NAVARRO BAEZ LUIS ARMANDO;CARNE;11101;AYSEN;11;
7929432;2;HOFMANN NIKLITSCHEK MARCELO EDUARDO;TRIGO;10201;OSORNO;10;
7959510;1;MUNOZ NOVOA SERGIO FERNANDO;CONTRATISTA;08401;LOS ANGELES;8;
8006823;9;SILVA SEGOVIA SYLVIA VERONICA;CARNE;13000;SANTIAGO CENTRO;13;
8204540;6;CERDA ELGUETA PATRICIO AUGUSTO;CONTRATISTA;15105;NUNOA;13;
8263779;6;CARDENAS SUAREZ NORMA ALICIA;ESP. HIDROBIOLOS;12205;PUNTA ARENAS;12;
8303989;2;CARO MARTINEZ VICTOR ERNESTO;PEQ.PROD.AGRICOLA;16401;SAN BERNARDO;16;
8367953;0;MATZNER FEHRING MARIO ARTURO;GANADO;10303;PUERTO VARAS;10;
8398957;2;MARTINEZ MONDELO JOAQUIN GERARDO;GANADO;11401;COYHAIQUE;11;
8614287;2;MANQUEZ MONARDES HELGA PATRICIA;ESP. HIDROBIOLOS;02101;TOCOPILLA;2;
8617604;1;PARDO SLATER ROY MANUEL;ESP. HIDROBIOLOS;12205;PUNTA ARENAS;12;
8818784;9;TOLEDO CUADRA OSCAR IVAN;CONTRATISTA;09201;TEMUCO;9;
8833705;0;MORALES PEREIRA JOSE ERMO GUIDO;CONTRATISTA;10201;OSORNO;10;
8921572;2;ARENAS VASQUEZ JOSEFINA DE LAS MERCEDES;CARNE;06201;SAN FERNANDO;6;
8939752;9;PIZARRO TORO PASCUAL EDGARDO;CONTRATISTA;03101;CHANARAL;3;
8996797;K;AZOCAR ZUBICUETA LORETA MAGALY;TRIGO;07301;LINARES;7;
9102082;3;DANKE QUEZADA RICHARD FEDERICO;GANADO;09201;TEMUCO;9;
9193331;4;BARRERA RIVERA JOSE DANIEL;ESP. HIDROBIOLOS;12205;PUNTA ARENAS;12;
9426547;9;ALEGRE CUTURRUFO RAUL ALVARO;CONTRATISTA;04103;COQUIMBO;4;
9824487;5;VERGARA ZAMORANO NELSON GABRIEL;LEGUMBRE;06201;SAN FERNANDO;6;
9922964;0;BIRKE SCHNETTLER JAIME RAUL EDUARDO;GANADO;10303;PUERTO VARAS;10;
10095311;0;ALARCON QUIROZ GUILLERMO ALEJANDRO;GANADO;09101;ANGOL;9;
10758167;7;CASTRO DONOSO JAIME ANTONIO;HARINA;06110;SAN VICENTE TAGUA TAGUA;6;
11838800;3;PINEDA REYES RIGOBERTO ELIAS;HARINA;14000;SANTIAGO PONIENTE;14;
11915883;4;FIGUEROA CAMPOS CARMEN UBERLINDA;GANADO;08401;LOS ANGELES;8;
12130450;3;BARSOM SAKHER SAMEAN;HARINA;10301;PUERTO MONTT;10;
12233008;7;ONATE TOBAR JOSE ANTONIO;CONTRATISTA;16000;SANTIAGO SUR;16;
12579845;4;CORTES MANQUE CLAUDIO ENRIQUE;CHATARRA;16300;LA FLORIDA;16;
12716423;1;PEREZ MARTINIC JULIO ALBERTO;CARNE;10401;CASTRO;10;
12869202;9;CARRERA GONZALEZ ANDRES PATRICIO;CONTRATISTA;13000;SANTIAGO CENTRO;13;
12969301;0;VERA ARIAS ALEJANDRO ENRIQUE;CONTRATISTA;08201;CONCEPCION;8;
14509009;1;CERDA VASQUEZ HERNAN ENRIQUE;CARNE;14000;SANTIAGO PONIENTE;14;
15137569;3;MATUS CAMILLA ROBERTO ANDRES;HARINA;06101;RANCAGUA;6;
48009128;0;COLLE  STEFAAN;GANADO;11401;COYHAIQUE;11;
48034659;9;BURCATOVSKY SANCOVSKY SIMON;CONTRATISTA;05302;VINA DEL MAR;5;
50168300;0;SANTIAGO BACHMANN E HIJO LIMITADA;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
50314960;5;H M INSTALACIONES ELECTRICAS SPA;CONTRATISTA;15105;NUNOA;13;
53021460;5;SUCESION ERWIN BRANDT YACKEL;GANADO;10101;VALDIVIA;19;
53148220;4;SUC ORLANDO ANTONIO PEREIRA GONZALEZ;TRIGO;07401;CAUQUENES;7;
53215580;0;SUC JUAN AGUSTIN SALAS LORCA;PEQ.PROD.AGRICOLA;06201;SAN FERNANDO;6;
59029140;4;FRIMA S A;GANADO;10201;OSORNO;10;
59044100;7;FORESTAL RAYONIER CHILE LTDA AGENCIA CHILE;MADERA;08201;CONCEPCION;8;
61004095;0;GENDARMERIA DE CHILE CENTRO DE CUMPLIMIENTO PENITENCIARIO DE OSORNO;CARNE;10201;OSORNO;10;
61004112;4;GENDARMERIA DE CHILE CASTRO;CARNE;10401;CASTRO;10;
61219000;3;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;13000;SANTIAGO CENTRO;13;SI
61704000;K;CORP NACIONAL DEL COBRE DE CHILE;CHATARRA;13000;SANTIAGO CENTRO;13;SI
70016130;7;FUNDACION VIVIENDA;MADERA;16401;SAN BERNARDO;16;
70681300;4;FED DE COOPERATIVAS CAMPESINAS LLANQUIHU;PEQ.PROD.AGRICOLA;10301;PUERTO MONTT;10;
71003300;5;ASOC GREMIAL DE PESCADORES ARTESANALES BUZOS MARISCADORES Y ALGUEROS DE TUBUL;ESP. HIDROBIOLOS;08201;CONCEPCION;8;
72074100;8;ASOC INDIGENA MOLCO;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
75494300;9;COMITE DE VIVIENDA VICTORIA;HARINA;05601;SAN FELIPE;5;
77021900;0;CONSTRUCTORA MARTINEZ JACA LIMITADA;CONTRATISTA;15103;PROVIDENCIA;15;
77029740;0;SOC AGRICOLA Y COMERCIAL PUYEHUE LTDA;PEQ.PROD.AGRICOLA;10201;OSORNO;10;
77061610;7;CONSTRUCTORA H Y L SPA;CONTRATISTA;15103;PROVIDENCIA;15;
77068810;8;FERNANDO BOZO Y COMPANIA LIMITADA;CARNE;06201;SAN FERNANDO;6;
77069310;1;MAQUINARIAS INDEMAX SPA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;07201;TALCA;7;
77071280;7;AGROPECUARIA PORVENIR LIMITADA;GANADO;10303;PUERTO VARAS;10;
77071460;5;CONSTRUCTORA BOETSCH SUR LTDA;CONTRATISTA;10101;VALDIVIA;19;
77081990;3;SOC CONSTRUCTORA MAXIMILIANO MONTES CID COMPANIA LTDA;CONTRATISTA;06101;RANCAGUA;6;
77082030;8;AGROGESTION VITRA S.A;TRIGO;06101;RANCAGUA;6;SI
77107860;5;CARRENO E HIJOS LIMITADA;CONTRATISTA;06101;RANCAGUA;6;
77124900;0;CONSTRUCTORA NAHMIAS LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77150490;6;ANTARES CONSTRUCCIONES SPA;CONTRATISTA;08201;CONCEPCION;8;
77179460;2;SOC CONSERVERA SACRAMENTO LIMITADA;ESP. HIDROBIOLOS;10301;PUERTO MONTT;10;
77189050;4;SOC INMOBILIARIA Y CONSTRUCTORA VIALFI LIMITADA;CONTRATISTA;06101;RANCAGUA;6;
77195910;5;ASERRADEROS CERRO COLORADO LTDA;MADERA;16300;LA FLORIDA;16;
77202760;5;SOC DE INVERSIONES BARAQUI GIMENEZ Y CIA LTDA;CARNE;03301;VALLENAR;3;
77207150;7;SOCIEDAD EXPORTADORA AGRICOLA MEREX LIMITADA;BERRIES;15000;SANTIAGO ORIENTE;15;
77225200;5;ARRENDADORA DE VEHICULOS SOCIEDAD ANONIMA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;13000;SANTIAGO CENTRO;13;
77238010;0;CONSTRUCTORA LOS LINGUES LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77251130;2;TRAFIGURA CHILE LIMITADA;CHATARRA;15000;SANTIAGO ORIENTE;15;SI
77259070;9;INGENIERIA CONSTRUCCIONES Y SERVICIOS SAN JUAN LTDA;CONTRATISTA;10301;PUERTO MONTT;10;
77265040;K;WOOL SOUTH LIMITADA;PEQ.PROD.AGRICOLA;15000;SANTIAGO ORIENTE;15;
77267610;7;AGAPITO AGUAYO Y CIA LTDA;CARNE;16000;SANTIAGO SUR;16;
77284080;2;PESQUERA SANTA ISABEL LIMITADA;ESP. HIDROBIOLOS;08206;TALCAHUANO;8;
77300670;9;CONSTRUCTORA SANHUEZA HERMANOS LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77337200;4;COMERCIAL GUIVAR LIMITADA;MADERA;08101;REGIONAL CHILLAN;21;
77362130;6;INGENIERIA Y CONSTRUCCION CONOS LIMITADA;CONTRATISTA;15105;NUNOA;13;
77371370;7;RENATO CASTRO HENNIGS Y COMPANIA LIMITADA;CONTRATISTA;16300;LA FLORIDA;16;
77372870;4;SOC AGRICOLA IDAHUE LIMITADA;TRIGO;05301;VALPARAISO;5;
77377910;4;COMERCIAL E INDUSTRIAL SANTA REGINA LIMITADA;HARINA;08109;SAN CARLOS;21;
77442730;9;SOC AGRICOLA GANADERA FORESTAL RIO BUENO LIMITADA;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
77455630;3;SOC AGRICOLA Y LECHERA PILMAIQUEN LAS MERCEDES LIMITADA;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
77456660;0;ALVAREZ Y ALVAREZ LIMITADA;ESP. HIDROBIOLOS;12101;PUERTO NATALES;12;
77470100;1;SOC COMERCIAL E INDUSTRIAL NEW HOME LIMITADA;CONTRATISTA;10301;PUERTO MONTT;10;
77481650;K;CONSTRUCTORA MANQUEHUE BROTEC ICAFAL LIMITADA;CONTRATISTA;15103;PROVIDENCIA;15;
77484030;3;COMERCIAL LEBU LIMITADA;HARINA;08201;CONCEPCION;8;
77508610;6;COMERCIAL BULNES LIMITADA;HARINA;08201;CONCEPCION;8;
77550280;0;GONZALEZ Y CIA LTDA;HARINA;04103;COQUIMBO;4;
77555200;K;ROGELIO VILLELA Y COMPANIA LIMITADA;CARNE;15103;PROVIDENCIA;15;
77558890;K;CONSTRUCTORA BELFI MONTEC MAGNA SEMAR LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77559230;3;PRODEMA SPA;MADERA;14000;SANTIAGO PONIENTE;14;
77568290;6;SOC AGRICOLA DE INVERSIONES LOS ESTEROS RIO BUENO LIMITADA;GANADO;10109;LA UNION;19;
77570670;8;FRIGORIFICO VICTOR MANCILLA Y COMPANIA LIMITADA;ESP. HIDROBIOLOS;05301;VALPARAISO;5;
77579400;3;PRODUCTORA MADERERA TILLERIA EN LIQUIDACIONLIMITADA;MADERA;15103;PROVIDENCIA;15;
77608990;7;ARQUITECTURA CONSTRUCCION E INGENIERIA LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77610450;7;CONSTRUCTORA E INMOBILIARIA LINDEROS LIMITADA;CONTRATISTA;16403;BUIN;16;
77611090;6;CONSTRUCTORA SAN AGUSTIN LIMITADA;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;16403;BUIN;16;
77612320;K;AGRICOLA Y COMERCIAL LOS CAMPEROS LIMITADA;CARNE;09201;TEMUCO;9;
77635860;6;AUTOSERVICIO SAN GREGORIO LIMITADA;HARINA;05701;LOS ANDES;5;
77639920;5;COMERCIALIZADORA UNION LIMITADA;PAPEL-CARTON;08101;REGIONAL CHILLAN;21;
77645100;2;CONSTRUCTORA HM S A EN QUIEBRA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
78007030;7;COMERCIAL S Y M LIMITADA;CONTRATISTA;16000;SANTIAGO SUR;16;
78018210;5;INDUSTRIA NACIONAL DE PRODUCTOS FORESTALES S A;PEQ.PROD.AGRICOLA;13000;SANTIAGO CENTRO;13;
78021710;3;FORESTAL FRESIA S A;TRIGO;08303;LEBU;8;
78034720;1;CONSTRUCTORA DIMAR LIMITADA;CONTRATISTA;16000;SANTIAGO SUR;16;
78040770;0;AGRICOLA LOS CASTANOS LTDA;GANADO;14601;MELIPILLA;14;
78052120;1;MOSA HNOS LTDA;HARINA;10301;PUERTO MONTT;10;
78054510;0;SOC MOLINERA GUACOLDA LIMITADA;TRIGO;09201;TEMUCO;9;
